incident_type_primary,city,state,hour_of_day,day_of_week,parent_incident_type,month_of_year,day_of_month,year
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,4,6,1,4,2,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,23,5,1,4,8,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,1,4,1,6,30,2016
ASSAULTS-OTHER,VICTORIA,BC,22,0,1,1,10,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,18,0,1,9,18,2016
ASSAULTS-OTHER,VICTORIA,BC,16,3,1,2,10,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,22,1,1,10,31,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,10,0,1,10,30,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,2,0,1,8,7,2016
ASSAULTS-OTHER,VICTORIA,BC,19,3,1,11,2,2016
ASSAULTS-OTHER,VICTORIA,BC,5,6,1,4,2,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,13,5,1,7,22,2016
ASSAULTS-OTHER,VICTORIA,BC,13,4,1,8,11,2016
ASSAULTS-OTHER,VICTORIA,BC,15,4,1,2,25,2016
ASSAULTS-OTHER,VICTORIA,BC,10,6,1,7,2,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,17,6,1,7,2,2016
ASSAULTS-OTHER,VICTORIA,BC,19,6,1,5,21,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,21,5,1,5,13,2016
ASSAULTS-OTHER,VICTORIA,BC,13,4,1,3,10,2016
ASSAULTS-OTHER,VICTORIA,BC,16,5,1,2,12,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,21,6,1,4,16,2016
ASSAULTS-OTHER,VICTORIA,BC,19,0,1,4,17,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,0,1,1,3,21,2016
ASSAULTS-OTHER,VICTORIA,BC,3,4,1,5,5,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,12,5,1,5,20,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,12,2,1,3,22,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,19,2,1,3,22,2016
ASSAULTS-OTHER,VICTORIA,BC,23,0,1,7,17,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,20,6,1,4,9,2016
ASSAULTS-OTHER,VICTORIA,BC,12,3,1,2,17,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,13,3,1,4,27,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,12,3,1,3,23,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,0,6,1,7,30,2016
ASSAULTS-OTHER,VICTORIA,BC,18,2,1,7,5,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,22,2,1,7,5,2016
ASSAULTS-OTHER,VICTORIA,BC,17,4,1,6,2,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,17,0,1,4,10,2016
ASSAULTS-OTHER,VICTORIA,BC,11,0,1,4,10,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,19,3,1,4,20,2016
ASSAULTS-OTHER,VICTORIA,BC,13,4,1,2,18,2016
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,5,6,1,2,18,2012
ASSAULTS-OTHER,VICTORIA,BC,6,0,1,2,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,0,1,2,19,2012
ASSAULTS-OTHER,VICTORIA,BC,13,0,1,2,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,1,1,2,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,1,1,2,20,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,9,2,1,2,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,2,1,2,21,2012
ASSAULTS-OTHER,VICTORIA,BC,11,2,1,2,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,2,1,2,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,2,1,2,21,2012
ASSAULTS-OTHER,VICTORIA,BC,9,0,1,2,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,0,1,2,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,8,4,1,2,23,2012
ASSAULTS-OTHER,VICTORIA,BC,15,4,1,2,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,4,1,2,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,5,1,2,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,5,1,2,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,5,1,2,24,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,9,5,1,2,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,8,5,1,2,24,2012
ASSAULTS-OTHER,VICTORIA,BC,2,6,1,2,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,6,1,2,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,0,1,2,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,6,1,2,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,0,1,2,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,0,1,2,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,0,1,2,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,0,1,2,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,0,1,2,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,0,1,2,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,1,1,2,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,1,1,2,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,1,1,2,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,4,0,1,2,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,1,1,2,27,2012
ASSAULTS-OTHER,VICTORIA,BC,15,2,1,2,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,2,1,2,28,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,3,1,2,29,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,3,1,2,29,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,4,1,3,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,4,1,3,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,5,1,3,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,5,1,3,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,6,1,3,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,6,1,3,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,4,0,1,3,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,0,1,3,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,0,1,3,4,2012
ASSAULTS-OTHER,VICTORIA,BC,18,0,1,3,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,0,1,3,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,0,1,2,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,1,1,3,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,1,1,3,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,2,1,3,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,2,1,3,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,4,1,3,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,4,1,3,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,4,1,3,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,5,1,3,9,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,5,1,3,9,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,5,1,3,9,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,6,1,3,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,6,1,3,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,6,1,3,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,6,1,3,10,2012
ASSAULTS-OTHER,VICTORIA,BC,2,6,1,3,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,6,1,3,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,6,1,3,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,6,1,3,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,0,1,3,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,0,1,3,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,4,0,1,3,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,0,1,3,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,2,1,3,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,0,1,2,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,3,1,3,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,3,1,3,14,2012
ASSAULTS-OTHER,VICTORIA,BC,22,6,1,3,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,3,1,3,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,3,1,3,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,3,1,3,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,8,5,1,3,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,5,1,3,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,5,6,1,3,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,6,1,3,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,6,1,3,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,6,1,3,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,0,1,3,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,1,1,3,12,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,1,1,3,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,1,1,3,19,2012
ASSAULTS-OTHER,VICTORIA,BC,12,1,1,3,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,1,1,3,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,1,1,3,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,3,1,3,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,3,1,3,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,4,1,3,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,4,1,3,22,2012
ASSAULTS-OTHER,VICTORIA,BC,13,4,1,3,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,4,1,3,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,4,1,3,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,5,1,3,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,5,1,3,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,5,1,3,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,5,1,3,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,5,1,3,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,5,1,3,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,6,1,3,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,6,1,3,24,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,2,6,1,3,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,0,1,3,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,0,1,3,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,0,1,3,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,0,1,3,25,2012
ASSAULTS-OTHER,VICTORIA,BC,10,1,1,3,26,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,15,1,1,3,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,2,1,3,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,2,1,3,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,2,1,3,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,5,1,3,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,4,1,3,29,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,4,1,3,29,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,5,1,3,30,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,5,1,3,30,2012
ASSAULTS-OTHER,VICTORIA,BC,21,5,1,3,30,2012
ASSAULTS-OTHER,VICTORIA,BC,9,5,1,3,30,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,5,1,3,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,6,1,3,31,2012
ASSAULTS-OTHER,VICTORIA,BC,7,6,1,3,31,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,6,1,3,31,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,6,1,3,31,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,0,1,4,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,0,1,4,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,1,1,4,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,1,1,4,2,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,18,2,1,4,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,0,1,4,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,2,1,4,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,5,4,1,4,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,4,1,4,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,5,1,4,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,5,1,4,6,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,1,5,1,4,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,5,1,4,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,6,1,4,7,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,6,1,4,7,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,6,1,4,7,2012
ASSAULTS-OTHER,VICTORIA,BC,23,6,1,4,7,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,23,6,1,4,7,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,0,1,4,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,0,1,4,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,0,1,4,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,0,1,4,8,2012
ASSAULTS-OTHER,VICTORIA,BC,15,2,1,4,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,2,1,4,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,3,1,4,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,3,1,3,28,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,4,1,4,12,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,5,1,4,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,6,1,4,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,6,1,4,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,6,1,4,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,0,1,4,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,1,1,4,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,4,1,4,12,2012
ASSAULTS-OTHER,VICTORIA,BC,0,2,1,4,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,2,1,4,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,3,1,4,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,6,4,1,4,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,4,1,4,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,4,1,3,29,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,5,1,4,20,2012
ASSAULTS-OTHER,VICTORIA,BC,21,5,1,4,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,5,1,4,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,6,1,4,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,6,1,4,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,6,1,4,21,2012
ASSAULTS-OTHER,VICTORIA,BC,17,1,1,4,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,2,1,4,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,4,1,4,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,5,5,1,4,27,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,2,5,1,4,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,5,1,4,27,2012
ASSAULTS-OTHER,VICTORIA,BC,22,5,1,4,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,5,1,4,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,6,1,4,28,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,0,1,4,29,2012
ASSAULTS-OTHER,VICTORIA,BC,2,1,1,4,30,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,2,1,5,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,2,1,5,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,2,1,5,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,6,1,4,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,4,1,5,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,5,1,5,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,5,1,5,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,5,1,5,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,5,1,5,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,5,1,5,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,6,1,5,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,6,1,5,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,6,1,5,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,0,1,5,6,2012
ASSAULTS-OTHER,VICTORIA,BC,2,1,1,5,7,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,4,1,1,5,7,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,5,1,5,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,6,1,1,5,7,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,1,1,5,7,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,8,2,1,5,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,2,1,5,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,2,1,5,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,2,1,5,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,3,1,5,9,2012
ASSAULTS-OTHER,VICTORIA,BC,17,4,1,5,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,3,1,5,9,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,4,1,5,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,5,1,5,11,2012
ASSAULTS-OTHER,VICTORIA,BC,17,6,1,5,12,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,6,1,5,12,2012
ASSAULTS-OTHER,VICTORIA,BC,11,0,1,5,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,0,1,5,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,0,1,5,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,0,1,5,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,1,1,5,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,5,1,5,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,2,1,5,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,3,1,5,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,4,1,5,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,4,1,5,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,5,1,5,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,5,1,5,18,2012
ASSAULTS-OTHER,VICTORIA,BC,0,5,1,5,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,5,1,5,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,5,1,5,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,6,1,5,19,2012
ASSAULTS-OTHER,VICTORIA,BC,23,6,1,5,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,0,1,5,20,2012
ASSAULTS-OTHER,VICTORIA,BC,14,0,1,5,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,0,1,5,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,0,1,5,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,1,1,5,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,1,1,5,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,2,1,5,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,2,1,5,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,4,1,5,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,4,1,5,24,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,19,4,1,5,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,5,1,5,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,5,1,5,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,5,1,5,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,5,1,5,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,5,1,5,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,6,1,5,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,6,1,5,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,0,1,5,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,0,1,5,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,1,1,5,28,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,2,1,5,29,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,3,1,5,30,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,7,3,1,5,30,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,6,4,1,5,31,2012
ASSAULTS-OTHER,VICTORIA,BC,20,4,1,5,31,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,5,1,6,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,4,1,5,31,2012
ASSAULTS-OTHER,VICTORIA,BC,19,5,1,6,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,4,6,1,6,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,6,1,6,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,6,1,6,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,6,1,6,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,0,1,6,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,0,1,6,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,0,1,6,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,0,1,6,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,1,1,6,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,3,1,6,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,2,1,6,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,4,1,6,7,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,4,1,6,7,2012
ASSAULTS-OTHER,VICTORIA,BC,17,5,1,6,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,3,1,6,6,2012
ASSAULTS-OTHER,VICTORIA,BC,15,5,1,6,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,0,1,6,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,0,1,6,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,8,0,1,6,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,0,1,6,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,1,1,6,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,1,1,6,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,1,1,6,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,2,1,6,12,2012
ASSAULTS-OTHER,VICTORIA,BC,11,3,1,6,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,3,1,6,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,3,1,6,13,2012
