incident_datetime,address_1,city,state,latitude,longitude,hour_of_day,day_of_week,parent_incident_type,,month_of_year,day_of_month,year
11/15/2008 11:04:00 AM,PATRICIA BAY HWY & ISLAND VIEW RD,CENTRAL SAANICH,BC,48.5724431,-123.3983594,11,Saturday,Traffic,,11,15,2008
11/25/2008 01:13:00 PM,1000 Block BENVENUTO AVE,CENTRAL SAANICH,BC,48.5629191,-123.4584448,13,Tuesday,Other,,11,25,2008
11/30/2008 04:25:00 AM,7100 Block W SAANICH RD,CENTRAL SAANICH,BC,48.5754315,-123.4054366,4,Sunday,Breaking & Entering,,11,30,2008
11/20/2008 11:23:00 AM,1200 Block VERDIER AVE,CENTRAL SAANICH,BC,48.5779367,-123.4484966,11,Thursday,Theft,,11,20,2008
11/25/2008 02:53:00 PM,E SAANICH RD & CULTRA AVE,CENTRAL SAANICH,BC,48.5923314,-123.4170319,14,Tuesday,Traffic,,11,25,2008
11/15/2008 01:43:00 PM,7000 Block MABER RD,CENTRAL SAANICH,BC,48.5744269,-123.4226984,13,Saturday,Other,,11,15,2008
11/25/2008 03:33:00 PM,8200 Block E SAANICH RD,CENTRAL SAANICH,BC,48.6058645,-123.4184483,15,Tuesday,Liquor,,11,25,2008
11/13/2008 01:25:00 PM,1900 Block MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5954057,-123.4208568,13,Thursday,Property Crime,,11,13,2008
11/23/2008 07:44:00 AM,6900 Block CENTRAL SAANICH RD,CENTRAL SAANICH,BC,48.5697375,-123.4035223,7,Sunday,Property Crime,,11,23,2008
11/25/2008 04:34:00 PM,TANNER RD & PATRICIA BAY HWY,CENTRAL SAANICH,BC,48.5542628,-123.3926925,16,Tuesday,Other,,11,25,2008
11/30/2008 02:21:00 PM,PATRICIA BAY HWY & ISLAND VIEW RD,CENTRAL SAANICH,BC,48.5724431,-123.3983594,14,Sunday,Traffic,,11,30,2008
11/07/2008 07:28:00 AM,MT NEWTON CROSS RD & CENTRAL SAANICH RD,CENTRAL SAANICH,BC,48.5941704,-123.4034784,7,Friday,Other,,11,07,2008
11/13/2008 01:38:00 PM,2400 Block MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941656,-123.3999125,13,Thursday,Traffic,,11,13,2008
10/31/2008 11:26:00 PM,7000 Block WALLACE DR,CENTRAL SAANICH,BC,48.5725039,-123.4515848,23,Friday,Property Crime,,10,31,2008
11/23/2008 08:35:00 AM,6200 Block CENTRAL SAANICH RD,CENTRAL SAANICH,BC,48.550563,-123.4035158,8,Sunday,Property Crime,,11,23,2008
11/30/2008 03:04:00 PM,PATRICIA BAY HWY & TANNER RD,CENTRAL SAANICH,BC,48.5542628,-123.3926925,15,Sunday,Traffic,,11,30,2008
11/07/2008 07:47:00 AM,KEATING CROSS RD & PATRICIA BAY HWY,CENTRAL SAANICH,BC,48.5641206,-123.3974514,7,Friday,Property Crime,,11,07,2008
11/15/2008 08:57:00 PM,1600 Block STELLYS CROSS RD,CENTRAL SAANICH,BC,48.5797456,-123.4307426,20,Saturday,Other,,11,15,2008
11/25/2008 10:32:00 PM,6200 Block PATRICIA BAY HWY,CENTRAL SAANICH,BC,48.5819974,-123.3999494,22,Tuesday,Traffic,,11,25,2008
11/15/2008 10:39:00 PM,2500 Block MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941391,-123.3971602,22,Saturday,Other,,11,15,2008
11/01/2008 01:45:00 AM,STELLYS CROSS RD & W SAANICH RD,CENTRAL SAANICH,BC,48.5796353,-123.4517016,1,Saturday,Traffic,,11,01,2008
11/09/2008 12:00:00 AM,7800 Block E SAANICH RD,CENTRAL SAANICH,BC,48.5947438,-123.4637375,0,Sunday,Community Policing,,11,09,2008
11/01/2008 01:47:00 AM,7000 Block W SAANICH RD,CENTRAL SAANICH,BC,48.5724047,-123.4423175,1,Saturday,Liquor,,11,01,2008
11/09/2008 12:00:00 AM,2400 Block MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941656,-123.3999125,0,Sunday,Community Policing,,11,09,2008
11/08/2008 07:37:00 PM,7100 Block W SAANICH RD,CENTRAL SAANICH,BC,48.5754315,-123.4054366,19,Saturday,Other,,11,08,2008
11/10/2008 12:00:00 AM,2400 Block MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941656,-123.3999125,0,Monday,Community Policing,,11,10,2008
11/01/2008 02:49:00 AM,6800 Block SAANICH CROSS RD,CENTRAL SAANICH,BC,48.5651196,-123.417242,2,Saturday,Other,,11,01,2008
11/03/2008 08:22:00 AM,PATRICIA BAY HWY & MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941307,-123.3983587,8,Monday,Traffic,,11,03,2008
11/08/2008 10:49:00 PM,7000 Block W SAANICH RD,CENTRAL SAANICH,BC,48.5724047,-123.4423175,22,Saturday,Other,,11,08,2008
01/21/2008 01:57:00 PM,1000 Block DAMELART WAY,CENTRAL SAANICH,BC,48.5769802,-123.4582531,13,Monday,Other,,01,21,2008
11/18/2008 01:45:00 PM,PATRICIA BAY HWY & ISLAND VIEW RD,CENTRAL SAANICH,BC,48.5724431,-123.3983594,13,Tuesday,Traffic,,11,18,2008
11/26/2008 09:23:00 AM,6200 Block SPRINGLEA RD,CENTRAL SAANICH,BC,48.5522073,-123.3971671,9,Wednesday,Assault with Deadly Weapon,,11,26,2008
11/01/2008 03:14:00 AM,6800 Block SAANICH CROSS RD,CENTRAL SAANICH,BC,48.5651196,-123.417242,3,Saturday,Liquor,,11,01,2008
11/08/2008 11:16:00 PM,6400 Block JANAUD CLS,CENTRAL SAANICH,BC,48.4693079,-123.3326765,23,Saturday,Other,,11,08,2008
11/03/2008 10:11:00 AM,E SAANICH RD & CENTRAL SAANICH RD,CENTRAL SAANICH,BC,48.5730264,-123.4034463,10,Monday,Theft,,11,03,2008
11/09/2008 02:18:00 AM,CLARKE RD & HAGAN RD,CENTRAL SAANICH,BC,48.5760363,-123.4584174,2,Sunday,Traffic,,11,09,2008
11/09/2008 08:46:00 AM,PATRICIA BAY HWY & MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941307,-123.3983587,8,Sunday,Traffic,,11,09,2008
11/18/2008 06:06:00 PM,2500 Block MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941391,-123.3971602,18,Tuesday,Other,,11,18,2008
11/01/2008 07:36:00 AM,E SAANICH RD & STELLYS CROSS RD,CENTRAL SAANICH,BC,48.579725,-123.4090015,7,Saturday,Other,,11,01,2008
11/12/2008 03:51:00 AM,1100 Block CLARKE RD,CENTRAL SAANICH,BC,48.5760446,-123.4532625,3,Wednesday,Drugs,,11,12,2008
11/18/2008 06:46:00 PM,WOODWARD DR & WALLACE DR,CENTRAL SAANICH,BC,48.5639533,-123.4598392,18,Tuesday,Traffic,,11,18,2008
11/05/2008 01:05:00 PM,PROSSER RD & WALLACE DR,CENTRAL SAANICH,BC,48.5887367,-123.4217899,13,Wednesday,Traffic,,11,05,2008
11/03/2008 11:27:00 AM,8200 Block E SAANICH RD,CENTRAL SAANICH,BC,48.6058645,-123.4184483,11,Monday,Breaking & Entering,,11,03,2008
11/12/2008 06:17:00 AM,2500 Block FIELDING PL,CENTRAL SAANICH,BC,48.4693079,-123.3326765,6,Wednesday,Theft from Vehicle,,11,12,2008
11/21/2008 12:27:00 PM,PATRICIA BAY HWY & MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941307,-123.3983587,12,Friday,Traffic,,11,21,2008
11/26/2008 03:18:00 PM,6900 Block W SAANICH RD,CENTRAL SAANICH,BC,48.5694844,-123.4413775,15,Wednesday,Theft,,11,26,2008
11/03/2008 11:46:00 AM,1000 Block VERDIER AVE,CENTRAL SAANICH,BC,48.5779092,-123.4573783,11,Monday,Theft,,11,03,2008
11/18/2008 10:02:00 PM,E SAANICH RD & ISLAND VIEW RD,CENTRAL SAANICH,BC,48.572424,-123.4029016,22,Tuesday,Other,,11,18,2008
11/05/2008 03:19:00 PM,7100 Block W SAANICH RD,CENTRAL SAANICH,BC,48.5754315,-123.4054366,15,Wednesday,Property Crime,,11,05,2008
11/09/2008 11:19:00 AM,7300 Block TOMLINSON RD,CENTRAL SAANICH,BC,48.5833018,-123.4306993,11,Sunday,Other,,11,09,2008
11/26/2008 04:28:00 PM,PATRICIA BAY HWY & KEATING CROSS RD,CENTRAL SAANICH,BC,48.5641206,-123.3974514,16,Wednesday,Traffic,,11,26,2008
11/29/2008 02:23:00 AM,6700 Block W SAANICH RD,CENTRAL SAANICH,BC,48.5630294,-123.436438,2,Saturday,Breaking & Entering,,11,29,2008
12/02/2008 10:19:00 AM,2000 Block A KEATING CROSS RD,CENTRAL SAANICH,BC,48.5651358,-123.4171503,10,Tuesday,Property Crime,,12,02,2008
11/09/2008 01:19:00 PM,7200 Block EARLY PL,CENTRAL SAANICH,BC,48.5779372,-123.445247,13,Sunday,Theft,,11,09,2008
11/24/2008 12:34:00 PM,7500 Block WALLACE DR,CENTRAL SAANICH,BC,48.5856432,-123.4231432,12,Monday,Theft,,11,24,2008
11/26/2008 04:55:00 PM,E SAANICH RD & MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5942285,-123.4168925,16,Wednesday,Traffic,,11,26,2008
11/29/2008 03:40:00 AM,6700 Block A W SAANICH RD,CENTRAL SAANICH,BC,48.5641737,-123.4035527,3,Saturday,Breaking & Entering,,11,29,2008
12/02/2008 11:34:00 AM,7100 Block W SAANICH RD,CENTRAL SAANICH,BC,48.5754315,-123.4054366,11,Tuesday,Other,,12,02,2008
11/07/2008 03:15:00 PM,1100 Block SLUGGETT RD,CENTRAL SAANICH,BC,48.5742625,-123.4530006,15,Friday,Traffic,,11,07,2008
11/03/2008 01:34:00 PM,2400 Block MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941656,-123.3999125,13,Monday,Theft,,11,03,2008
11/14/2008 04:30:00 PM,7800 Block WALLACE DR,CENTRAL SAANICH,BC,48.5941698,-123.4202605,16,Friday,Property Crime,,11,14,2008
11/24/2008 04:06:00 PM,7600 Block BLOSSOM PARK PL,CENTRAL SAANICH,BC,48.5899578,-123.4204734,16,Monday,Arson,,11,24,2008
11/29/2008 01:00:00 AM,900 Block VERDIER AVE,CENTRAL SAANICH,BC,48.5778875,-123.4628168,1,Saturday,Liquor,,11,29,2008
11/05/2008 04:31:00 PM,7800 Block E SAANICH RD,CENTRAL SAANICH,BC,48.5947438,-123.4637375,16,Wednesday,Other,,11,05,2008
11/07/2008 03:18:00 PM,TANNER RD & ELAINE WAY,CENTRAL SAANICH,BC,48.5542894,-123.3939903,15,Friday,Traffic,,11,07,2008
11/21/2008 10:21:00 PM,SLUGGETT AVE & W SAANICH RD,CENTRAL SAANICH,BC,48.5706464,-123.441463,22,Friday,Liquor,,11,21,2008
11/24/2008 04:56:00 PM,1900 Block CULTRA AVE,CENTRAL SAANICH,BC,48.5923163,-123.4203846,16,Monday,Other,,11,24,2008
11/07/2008 03:47:00 PM,1100 Block NEWTON PL,CENTRAL SAANICH,BC,48.5702117,-123.4531675,15,Friday,Traffic,,11,07,2008
11/14/2008 09:21:00 PM,KEATING CROSS ROAD,CENTRAL SAANICH,BC,48.5651196,-123.417242,21,Friday,Traffic,,11,14,2008
11/29/2008 07:11:00 AM,BELLA VISTA DR & WILCOX TER,CENTRAL SAANICH,BC,48.5566077,-123.395852,7,Saturday,Other,,11,29,2008
11/07/2008 04:30:00 PM,PATRICIA BAY HWY & MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941307,-123.3983587,16,Friday,Traffic,,11,07,2008
11/12/2008 01:02:00 PM,7000 Block WALLACE DR,CENTRAL SAANICH,BC,48.5725039,-123.4515848,13,Wednesday,Property Crime,,11,12,2008
11/22/2008 12:48:00 AM,1900 Block GENOA PL,CENTRAL SAANICH,BC,48.591445,-123.4193414,0,Saturday,Other,,11,22,2008
11/05/2008 10:36:00 PM,REY RD & MONTE VISTA WAY,CENTRAL SAANICH,BC,48.5595718,-123.3952955,22,Wednesday,Assault,,11,05,2008
11/07/2008 05:02:00 PM,MCHATTIE RD & W SAANICH RD,CENTRAL SAANICH,BC,48.563152,-123.4364579,17,Friday,Traffic,,11,07,2008
11/12/2008 03:45:00 PM,PATRICIA BAY HWY & MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941307,-123.3983587,15,Wednesday,Traffic,,11,12,2008
11/15/2008 12:22:00 AM,7100 Block W SAANICH RD,CENTRAL SAANICH,BC,48.5754315,-123.4054366,0,Saturday,Other,,11,15,2008
11/22/2008 02:24:00 AM,WALLACE DR & W SAANICH RD,CENTRAL SAANICH,BC,48.5753045,-123.4452848,2,Saturday,Other,,11,22,2008
